church_name,street_address,city,state,zip,type,word_count
Compel Church - Dream Center,6935 Windchase,Horn Lake,MS,38637,NA,5
Ignite Church,777 N Business Hwy 49,Neosho,MO,64850,NA,2
Compel Church - Southaven,820 Church Rd E,Southaven,MS,38672,NA,4
Hillside Church,4810 Grantline Rd,New Albany,IN,47150,NA,2
Fuel Church - Westfield,18686 Eagletown RD,Westfield,IN,46074,NA,4
Hope City Church,7301 Arnoldtown Rd,Louisville,KY,40214,NA,3
New Life Church - Beebe,115 North Main St,Beebe,AR,72012,NA,5
CityChurch For Olive Branch,3591 Bethel Rd,Olive Branch,MS,38654,NA,4
New Life Church - Greenbrier,43 Glenn Ln,Greenbrier,AR,72058,NA,5
People's Church - Indianapolis,7960 Castleway Dr,Indianapolis,IN,46250,NA,4
Blueprint Church,226 S Main St,Goodlettsville,TN,37072,NA,2
Love and Truth Church - Adamsville,440 US 64,Adamsville,TN,38310,NA,6
ONE Church,18515 N Union St,Westfield,IN,46074,NA,2
Living Water Community Church,190 Lily Cache Ln,Bollingbrook,IL,60440,NA,4
Christian Life Center - Tinley Park,6363 W 183rd St,Tinley Park,IL,60477,NA,6
Zeal Church,5807 Charlotte Pike,Nashville,TN,37209,NA,2
Life Springs Church,1635 Emerson Ln,Naperville,IL,NA,NA,3
ITOWN Church - Academy,9665 Hague Rd,Indianapolis,IN,46256,NA,4
The Hills Nashville,120 Belle Forest Cir,Nashville,TN,37221,NA,3
The Edge Church,2705 Clara Ave,Aurora,IL,60502,NA,3
The House,2901 W Olive St,Rogers,AR,72756,NA,2
Elan Church,1665 Quincy Ave,Naperville,NA,NA,NA,2
Purpose City Church,2850 Ginger Woods Pkwy,Aurora,IL,60502,NA,3
Compel Church - Hernando,2601 Elm St,Hernando,MS,38632,NA,4
SOCO Church,104 SW A Street,Bentonville,AR,72712,NA,2
Keypoint Church - Bentonville,3700 Medical Center Pkwy,Bentonville,AR,72712,NA,4
Way Church,900 Gallatin Ave,Nashville,TN,37206,NA,2
Christian Life Center - West,28250 Diehl Rd,Warrenville,IL,NA,NA,5
Highmark Church,9959 E 126th St,Fishers,IN,46038,NA,2
Realife Church,5151 W US Hwy 40,Greenfield,IN,46140,NA,2
Oasis Church,197 Imperial Blvd,Hendersonville,TN,37075,NA,2
Love and Truth Church - Savannah,2425 Pickwick St,Savannah,TN,38372,NA,6
Trove Heights,500 Interstate Blvd S,Nashville,TN,NA,NA,2
